[[ 2, 4, 14, 16, 32, 28 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^9 + x^8 + x^7 + x^6 + x^5 + x^4 + x*y + y^2 + 1]
[[ 2, 4, 14, 24, 42, 88 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^6 + x^4 + x^2 + x*y + y^2 + 1]
[[ 2, 4, 8, 32, 52, 64 ],'<2, 1>',x^13 + x^12 + x^10 + x^8 + x^5 + x^4 + x*y + y^2 + 1]
[[ 2, 8, 8, 8, 32, 32 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7 + x^6 + x^5 + x^4 + x^3 + x*y + y^2 + 1]
[[ 4, 8, 10, 24, 34, 56 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^6 + x^5 + x^4 + x^2 + x*y + x + y^2]
[[ 2, 8, 14, 32, 42, 80 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7 + x^6 + x^4 + x^3 + x^2 + x*y + y^2 + 1]
[[ 2, 8, 14, 24, 32, 68 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^6 + x^5 + x^4 + x^3 + x*y + y^2 + 1]
[[ 4, 8, 4, 24, 34, 68 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^9 + x^8 + x^6 + x^5 + x^2 + x*y + x + y^2]
[[ 4, 4, 10, 32, 14, 64 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^6 + x^4 + x^3 + x^2 + x*y + x + y^2]
[[ 4, 8, 4, 32, 24, 80 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7 + x^6 + x^4 + x^3 + x*y + x + y^2]
[[ 4, 8, 10, 8, 34, 32 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^8 + x^7 + x^6 + x^5 + x^2 + x*y + x + y^2]
[[ 4, 8, 16, 32, 44, 32 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^8 + x^7 + x^5 + x^4 + x*y + x + y^2]
[[ 2, 8, 8, 24, 32, 56 ],'<2, 1>',x^14 + x^13 + x^12 + x^6 + x^4 + x^3 + x*y + y^2 + 1]
[[ 2, 8, 8, 8, 52, 80 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^7 + x^6 + x^5 + x^4 + x^3 + x*y + y^2 + 1]
[[ 2, 8, 2, 16, 42, 104 ],'<2, 1>',x^14 + x^13 + x^12 + x^6 + x^5 + x^2 + x*y + y^2 + 1]
