[[ 4, 6, 10, 26, 24, 90 ],'<2, 1>',x^13 + x^12 + x^8 + x^7*y + x^7 + x^5 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 4, 6, 16, 18, 54, 102 ],'<2, 1>',x^13 + x^12 + x^9 + x^7*y + x^7 + x^5 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 4, 6, 4, 18, 24, 90 ],'<2, 1>',x^13 + x^12 + x^10 + x^7*y + x^7 + x^5 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 4, 6, 4, 26, 14, 54 ],'<2, 1>',x^12 + x^11 + x^10 + x^7*y + x^7 + x^5 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 4, 10, 4, 18, 24, 70 ],'<2, 1>',x^13 + x^12 + x^8 + x^7*y + x^7 + x^6 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 2, 10, 14, 26, 32, 94 ],'<2, 1>',x^14 + x^11 + x^8 + x^7*y + x^7 + x^6 + x^5 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 2, 6, 2, 34, 32, 54 ],'<2, 1>',x^14 + x^13 + x^12 + x^10 + x^7*y + x^7 + x^6 + x^5 + x^3*y + x^3 + x^2 + y^2 + y + 1]
[[ 2, 10, 14, 18, 42, 70 ],'<2, 1>',x^14 + x^12 + x^9 + x^7*y + x^6 + x^5 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y]
[[ 4, 6, 10, 34, 34, 54 ],'<2, 1>',x^13 + x^12 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^2 + x + y^2 + y]
[[ 4, 6, 10, 10, 24, 90 ],'<2, 1>',x^13 + x^11 + x^10 + x^7*y + x^7 + x^5 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 2, 10, 2, 26, 42, 106 ],'<2, 1>',x^14 + x^10 + x^9 + x^7*y + x^7 + x^6 + x^5 + x^4 + x^3*y + x^2 + x + y^2 + y]
[[ 2, 10, 2, 26, 42, 106 ],'<2, 1>',x^14 + x^13 + x^8 + x^7*y + x^6 + x^5 + x^4*y + x^4 + x^3*y + x^3 + x^2*y + x^2 + x + y^2 + y]
[[ 4, 10, 10, 18, 64, 70 ],'<2, 1>',x^12 + x^11 + x^9 + x^7*y + x^7 + x^6 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 4, 10, 4, 26, 34, 94 ],'<2, 1>',x^13 + x^12 + x^9 + x^7*y + x^6 + x^5 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
[[ 2, 10, 8, 26, 12, 82 ],'<2, 1>',x^14 + x^12 + x^8 + x^7*y + x^6 + x^5 + x^4 + x^3*y + x^3 + x^2 + x + y^2 + y + 1]
