[[ 2, 8, 8, 24, 12, 56 ],'<2, 1>',x^13 + x^9 + x^7 + x^6 + x^2*y + x + y^2]
[[ 4, 8, 10, 16, 64, 68 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^8 + x^3 + x^2*y + x + y^2 + 1]
[[ 4, 4, 10, 16, 14, 40 ],'<2, 1>',x^13 + x^12 + x^9 + x^8 + x^5 + x^4 + x^2*y + x + y^2 + 1]
[[ 2, 4, 8, 8, 42, 76 ],'<2, 1>',x^13 + x^11 + x^9 + x^7 + x^4 + x^3 + x^2*y + x + y^2]
[[ 4, 4, 4, 16, 34, 100 ],'<2, 1>',x^13 + x^11 + x^9 + x^6 + x^4 + x^2*y + x + y^2]
[[ 2, 4, 8, 24, 42, 76 ],'<2, 1>',x^14 + x^13 + x^11 + x^10 + x^8 + x^6 + x^5 + x^4 + x^2*y + x^2 + x + y^2 + 1]
[[ 2, 4, 2, 16, 32, 52 ],'<2, 1>',x^13 + x^11 + x^2*y + x + y^2]
[[ 2, 8, 8, 16, 2, 68 ],'<2, 1>',x^13 + x^12 + x^11 + x^9 + x^8 + x^6 + x^5 + x^4 + x^3 + x^2*y + x + y^2 + 1]
[[ 4, 4, 4, 16, 54, 76 ],'<2, 1>',x^13 + x^11 + x^6 + x^4 + x^3 + x^2*y + x + y^2]
[[ 2, 4, 8, 24, 42, 28 ],'<2, 1>',x^13 + x^11 + x^7 + x^4 + x^2*y + x + y^2]
[[ 2, 8, 8, 16, 42, 68 ],'<2, 1>',x^13 + x^11 + x^6 + x^4 + x^2*y + x + y^2]
[[ 4, 4, 16, 32, 34, 52 ],'<2, 1>',x^14 + x^13 + x^12 + x^11 + x^10 + x^7 + x^5 + x^4 + x^3 + x^2*y + x + y^2]
[[ 4, 8, 4, 24, 14, 68 ],'<2, 1>',x^13 + x^12 + x^11 + x^10 + x^9 + x^6 + x^5 + x^4 + x^2*y + x^2 + x + y^2]
[[ 2, 4, 14, 24, 22, 88 ],'<2, 1>',x^14 + x^13 + x^12 + x^9 + x^7 + x^6 + x^5 + x^4 + x^2*y + x^2 + x + y^2 + 1]
[[ 2, 8, 2, 8, 32, 92 ],'<2, 1>',x^13 + x^11 + x^7 + x^3 + x^2*y + x + y^2]
[[ 4, 8, 4, 24, 34, 92 ],'<2, 1>',x^13 + x^11 + x^7 + x^6 + x^4 + x^2*y + x + y^2]
[[ 4, 4, 10, 16, 34, 64 ],'<2, 1>',x^13 + x^4 + x^3 + x^2*y + x + y^2]
