[[0, 1, 4, 5, 7], [2, 4], [3, 5], [6, 7]]
[[2,12,11,36,27,63],[10, 13, 35, 16, 17, 54]]
[[5,15,8,31,15,54],[10, 13, 16, 17, 38, 53]]
[[5,11,11,27,40,65],[10, 13, 16, 42, 17, 53]]
[[2,12,11,36,27,63],[10, 13, 16, 42, 17, 54]]
[[2,8,8,32,22,92],[10, 13, 16, 17, 52, 44]]
[[5,13,8,29,45,58],[10, 13, 16, 17, 50, 53]]
[[4,12,10,36,19,60],[10, 13, 16, 17, 52, 53]]
[[4,8,10,24,24,92],[10, 13, 16, 18, 53, 54]]
[[6,14,9,30,16,47],[10, 13, 34, 16, 52, 51]]
[[5,13,8,25,30,88],[10, 13, 35, 16, 52, 51]]
[[5,9,8,17,50,72],[10, 13, 16, 37, 42, 53]]
[[4,12,13,28,29,57],[10, 13, 16, 37, 50, 54]]
[[7,9,13,17,47,57],[10, 13, 16, 42, 38, 53]]
[[5,5,20,13,40,62],[10, 13, 16, 38, 52, 54]]
[[4,10,13,14,14,103],[10, 13, 16, 39, 44, 53]]
[[4,8,10,8,44,68],[10, 13, 40, 16, 52, 44]]
[[4,10,19,22,29,79],[10, 13, 40, 16, 52, 53]]
[[2,8,5,28,27,77],[10, 13, 16, 42, 50, 54]]
[[3,9,9,41,28,69],[10, 13, 16, 43, 52, 54]]
[[3,13,12,25,33,82],[10, 13, 16, 49, 52, 44]]
[[4,10,19,18,24,91],[10, 13, 16, 44, 51, 53]]
[[4,8,22,12,24,104],[10, 13, 16, 49, 52, 51]]
[[6,12,12,28,11,72],[10, 13, 16, 50, 52, 53]]
[[4,8,16,20,19,92],[10, 13, 17, 18, 44, 54]]
[[3,7,15,31,28,109],[10, 13, 17, 18, 51, 54]]
[[3,7,12,23,18,112],[10, 13, 34, 37, 17, 54]]
[[6,10,12,14,41,70],[10, 13, 34, 40, 17, 53]]
[[3,9,24,29,18,72],[10, 13, 34, 42, 17, 54]]
[[5,9,14,13,35,84],[10, 13, 34, 17, 43, 54]]
[[7,7,13,19,32,85],[10, 13, 34, 49, 17, 53]]
[[7,9,7,33,42,33],[10, 13, 34, 17, 52, 53]]
[[2,12,8,24,42,84],[10, 13, 35, 37, 17, 54]]
