[[2, 5, 7], [3, 5], [4, 5, 7], [6, 7]]
[0, 1, 14, 40, 42, 49, 50, 52, 54]
[0, 1, 14, 40, 42, 50, 52, 51, 54]
[0, 1, 14, 40, 49, 52, 44, 51, 54]
[0, 1, 40, 16, 49, 17, 50, 18, 54]
[0, 1, 40, 16, 42, 49, 17, 43, 54]
[0, 1, 40, 16, 42, 17, 44, 51, 54]
[0, 10, 5, 14, 7, 8, 52, 44, 54]
[0, 5, 7, 49, 8, 17, 43, 52, 51]
[0, 5, 7, 16, 17, 43, 52, 9, 51]
[0, 5, 7, 16, 49, 17, 52, 9, 44]
[0, 10, 5, 14, 7, 18, 44, 53, 54]
[0, 5, 40, 7, 16, 42, 17, 52, 44]
[0, 10, 5, 42, 8, 52, 9, 44, 54]
[0, 5, 14, 42, 8, 17, 52, 9, 44]
[0, 10, 5, 16, 8, 50, 51, 53, 54]
[0, 10, 5, 40, 8, 17, 51, 53, 54]
[0, 10, 5, 40, 8, 43, 52, 51, 54]
[0, 10, 5, 40, 49, 8, 52, 44, 54]
[0, 5, 14, 40, 8, 17, 43, 52, 51]
[0, 5, 14, 40, 49, 8, 17, 52, 44]
[0, 10, 5, 40, 16, 52, 9, 44, 54]
[0, 10, 5, 42, 9, 18, 44, 53, 54]
[0, 10, 5, 43, 50, 9, 44, 53, 54]
[0, 10, 5, 49, 50, 9, 51, 53, 54]
[0, 5, 14, 40, 16, 17, 52, 9, 44]
[0, 10, 5, 16, 42, 17, 51, 53, 54]
[0, 10, 5, 16, 50, 52, 18, 51, 54]
[0, 10, 5, 16, 42, 43, 52, 51, 54]
[0, 10, 5, 16, 42, 49, 52, 44, 54]
[0, 10, 5, 40, 43, 18, 51, 53, 54]
[0, 10, 5, 40, 49, 18, 44, 53, 54]
[0, 10, 5, 40, 42, 50, 51, 53, 54]
[0, 5, 14, 16, 17, 50, 52, 18, 51]
[0, 5, 14, 16, 42, 17, 43, 52, 51]
[0, 5, 14, 16, 42, 49, 17, 52, 44]
[0, 10, 40, 7, 16, 8, 52, 9, 53]
[0, 10, 7, 16, 8, 43, 9, 53, 54]
[0, 10, 7, 42, 49, 8, 17, 9, 54]
[0, 14, 7, 42, 8, 17, 9, 51, 53]
[0, 10, 7, 16, 42, 49, 8, 52, 53]
[0, 10, 7, 42, 8, 50, 52, 18, 54]
[0, 10, 7, 49, 8, 52, 44, 51, 54]
[0, 14, 40, 7, 8, 17, 43, 44, 53]
[0, 14, 40, 7, 49, 8, 17, 51, 53]
[0, 10, 40, 7, 16, 49, 17, 9, 54]
[0, 10, 7, 16, 49, 43, 52, 9, 54]
[0, 10, 7, 16, 52, 9, 44, 51, 54]
[0, 10, 40, 7, 50, 9, 18, 53, 54]
[0, 10, 7, 43, 50, 52, 9, 18, 53]
[0, 10, 40, 7, 42, 43, 9, 53, 54]
[0, 10, 40, 7, 50, 9, 51, 53, 54]
[0, 14, 40, 7, 16, 17, 9, 51, 53]
[0, 14, 7, 17, 50, 9, 51, 53, 54]
[0, 40, 7, 17, 50, 52, 9, 51, 54]
[0, 10, 7, 16, 17, 43, 50, 18, 54]
[0, 10, 40, 7, 16, 50, 52, 18, 54]
[0, 10, 40, 7, 16, 42, 43, 52, 54]
[0, 10, 7, 42, 49, 50, 18, 53, 54]
[0, 10, 7, 49, 43, 18, 51, 53, 54]
[0, 10, 40, 7, 43, 52, 44, 51, 53]
[0, 10, 7, 42, 43, 50, 44, 53, 54]
[0, 10, 7, 42, 49, 50, 51, 53, 54]
[0, 14, 7, 16, 17, 50, 18, 44, 53]
[0, 14, 7, 16, 42, 17, 43, 44, 53]
[0, 14, 7, 16, 42, 49, 17, 51, 53]
[0, 14, 40, 7, 17, 18, 44, 53, 54]
[0, 7, 49, 17, 43, 52, 18, 51, 54]
[0, 7, 42, 17, 43, 50, 52, 44, 54]
[0, 7, 42, 49, 17, 50, 52, 51, 54]
[0, 10, 14, 16, 49, 8, 52, 9, 53]
[0, 10, 14, 40, 42, 8, 17, 9, 54]
[0, 10, 14, 8, 50, 52, 9, 18, 54]
[0, 10, 14, 42, 8, 43, 52, 9, 54]
[0, 16, 8, 17, 9, 18, 44, 53, 54]
[0, 40, 8, 17, 50, 9, 18, 44, 53]
[0, 40, 42, 8, 17, 43, 9, 44, 53]
[0, 40, 42, 49, 8, 17, 9, 51, 53]
[0, 10, 14, 16, 8, 50, 18, 53, 54]
[0, 10, 14, 40, 16, 42, 8, 52, 53]
[0, 10, 14, 16, 42, 8, 43, 53, 54]
[0, 10, 14, 16, 8, 50, 51, 53, 54]
[0, 10, 14, 8, 17, 43, 44, 51, 54]
[0, 10, 14, 40, 49, 8, 43, 52, 54]
[0, 10, 14, 40, 8, 52, 44, 51, 54]
[0, 14, 16, 8, 17, 50, 52, 51, 54]
[0, 40, 16, 8, 17, 50, 51, 53, 54]
[0, 42, 8, 17, 43, 50, 18, 51, 53]
[0, 42, 49, 8, 17, 50, 18, 44, 53]
[0, 10, 14, 40, 16, 43, 52, 9, 54]
[0, 10, 14, 42, 9, 18, 44, 53, 54]
[0, 10, 14, 49, 50, 9, 18, 53, 54]
[0, 10, 14, 40, 42, 49, 52, 9, 53]
[0, 10, 14, 42, 49, 43, 9, 53, 54]
[0, 10, 14, 42, 9, 44, 51, 53, 54]
[0, 10, 14, 43, 50, 9, 44, 53, 54]
[0, 10, 14, 49, 50, 9, 51, 53, 54]
[0, 14, 42, 17, 52, 9, 18, 44, 54]
[0, 14, 17, 43, 50, 52, 9, 44, 54]
[0, 14, 49, 17, 50, 52, 9, 51, 54]
[0, 16, 42, 17, 50, 9, 18, 44, 53]
[0, 40, 42, 17, 9, 18, 44, 53, 54]
[0, 40, 17, 43, 50, 9, 44, 53, 54]
[0, 40, 49, 17, 50, 9, 51, 53, 54]
[0, 10, 14, 40, 16, 42, 49, 17, 54]
[0, 10, 14, 16, 49, 50, 52, 18, 54]
[0, 10, 14, 16, 42, 49, 43, 52, 54]
[0, 10, 14, 16, 42, 52, 44, 51, 54]
[0, 10, 14, 40, 42, 50, 18, 53, 54]
[0, 10, 14, 40, 43, 18, 51, 53, 54]
